Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,6,5,NOTHING,false,0,0,0,0,0,,,0,0,0
3,1,1,11,5,NOTHING,false,0,0,0,0,0,,,0,0,0
4,1,1,16,5,NOTHING,false,0,0,0,0,0,,,0,0,0
5,1,1,21,5,NOTHING,false,0,0,0,0,0,,,0,0,0
6,1,1,26,5,NOTHING,false,0,0,0,0,0,,,0,0,0
7,1,1,31,5,NOTHING,false,0,0,0,0,1,,,0,0,4
8,1,2,35,5,TURNING_RIGHT,false,0,0,0,0,1,,,0,0,4
9,1,2,40,5,NOTHING,false,0,0,0,1,1,,,0,0,8
10,1,2,45,5,NOTHING,false,0,0,0,1,1,,,0,0,8
11,1,2,50,5,NOTHING,false,0,0,0,1,1,,,0,0,8
12,1,1,54,5,TURNING_LEFT,false,0,0,0,2,1,,,0,0,12
13,1,1,59,5,NOTHING,false,0,0,0,2,1,,,0,0,12
14,1,1,64,5,NOTHING,false,0,0,0,2,1,,,0,0,12
15,1,1,69,5,NOTHING,false,0,0,0,2,1,,,0,0,12
16,1,2,73,5,TURNING_RIGHT,false,0,0,0,2,1,,,0,0,12
17,1,2,78,5,NOTHING,false,0,0,0,2,1,,,0,0,12
18,1,2,83,5,NOTHING,false,0,0,0,2,1,,,0,0,12
19,1,1,87,5,TURNING_LEFT,false,0,0,0,2,1,,,0,0,12
20,1,1,92,5,USED_LIZARD,false,0,0,0,2,0,,,0,0,12
21,1,1,97,5,NOTHING,false,0,0,0,2,1,,,0,0,16
22,1,1,102,5,NOTHING,false,0,0,0,2,1,,,0,1,20
23,1,1,107,5,NOTHING,false,0,0,0,2,1,,,1,1,24
24,1,1,112,5,NOTHING,false,0,0,0,2,1,,,1,1,24
25,1,1,117,5,NOTHING,false,0,0,0,2,1,,,1,1,24
26,1,1,122,5,NOTHING,false,0,0,0,2,1,,,1,2,28
27,1,1,127,5,NOTHING,false,0,0,0,2,1,,,1,2,28
28,1,1,132,5,NOTHING,false,0,0,0,2,1,,,1,2,28
29,1,1,137,5,NOTHING,false,0,0,0,2,1,,,1,2,28
30,1,1,142,5,NOTHING,false,0,0,0,2,1,,,1,2,28
31,1,1,147,5,NOTHING,false,0,0,0,2,1,,,1,2,28
32,1,1,152,5,NOTHING,false,0,0,0,2,1,,,1,2,28
33,1,1,157,5,NOTHING,false,0,0,0,2,1,,,1,2,28
34,1,1,162,5,NOTHING,false,0,0,0,2,1,,,1,2,28
35,1,1,167,5,NOTHING,false,0,0,0,2,1,,,1,2,28
36,1,1,172,5,NOTHING,false,0,0,0,2,1,,,1,2,28
37,1,1,177,5,NOTHING,false,0,0,0,2,1,,,1,2,28
38,1,1,182,5,NOTHING,false,0,0,1,2,1,,,1,2,32
39,1,2,186,5,TURNING_RIGHT,false,0,0,1,2,1,,,1,2,32
40,1,2,191,5,NOTHING,false,0,0,1,2,1,,,1,2,32
41,1,2,196,5,NOTHING,false,0,0,1,3,1,,,2,2,40
42,1,3,200,5,TURNING_RIGHT,false,0,0,1,3,1,,,2,2,40
43,1,4,204,5,TURNING_RIGHT,false,0,0,1,3,1,,,2,2,40
44,1,4,209,5,NOTHING,false,0,0,1,3,2,,,3,2,48
45,1,4,213,5,NOTHING,false,0,0,1,3,2,,,3,2,48
46,1,4,216,5,NOTHING,false,0,0,1,3,2,,,3,2,48
47,1,4,221,5,USED_LIZARD,false,0,0,1,3,1,,,3,2,48
48,1,4,226,5,USED_LIZARD,false,0,0,1,3,0,,,3,3,52
49,1,4,231,3,HIT_MUD,false,0,1,1,3,0,,,3,3,49
50,1,4,240,9,USED_BOOST,true,5,1,1,3,0,,,3,3,57
51,1,3,248,9,TURNING_LEFT,true,4,1,1,3,0,,,3,3,57
52,1,3,257,9,NOTHING,true,3,1,1,3,0,,,3,3,57
53,1,3,266,9,NOTHING,true,2,1,1,3,1,,,3,3,61
54,1,3,275,9,NOTHING,true,1,1,1,3,1,,,4,3,65
55,1,2,283,9,TURNING_LEFT,false,0,1,1,3,2,,,5,3,73
56,1,2,292,9,NOTHING,false,0,1,1,3,2,,,5,4,77
57,1,2,301,9,NOTHING,false,0,1,1,3,2,,,6,4,81
58,1,2,310,9,NOTHING,false,0,1,1,3,2,,,6,4,81
59,1,2,319,9,NOTHING,false,0,1,1,3,2,,,6,4,81
60,1,2,328,9,NOTHING,false,0,1,1,3,2,,,6,4,81
61,1,3,336,9,TURNING_RIGHT,false,0,1,1,3,2,,,6,4,81
62,1,3,345,9,NOTHING,false,0,1,1,3,2,,,6,4,81
63,1,2,353,9,TURNING_LEFT,false,0,1,1,4,2,,,6,4,85
64,1,2,362,9,NOTHING,false,0,1,1,4,3,,,6,4,89
65,1,2,371,9,NOTHING,false,0,1,1,4,3,,,6,4,89
66,1,1,379,9,TURNING_LEFT,false,0,1,1,4,3,,,6,4,89
67,1,1,388,9,NOTHING,false,0,1,1,5,3,,,6,4,93
68,1,1,397,9,NOTHING,false,0,1,1,5,3,,,6,4,93
69,1,1,406,9,USED_LIZARD,false,0,1,1,5,2,,,6,4,93
70,1,2,414,9,TURNING_RIGHT,false,0,1,1,6,2,,,6,4,97
71,1,2,423,9,NOTHING,false,0,1,1,6,2,,,6,4,97
72,1,2,432,9,NOTHING,false,0,1,1,6,3,,,6,4,101
73,1,2,441,9,NOTHING,false,0,1,1,6,3,,,6,4,101
74,1,2,450,9,NOTHING,false,0,1,2,6,3,,,6,4,105
75,1,2,459,9,NOTHING,false,0,1,2,6,3,,,6,4,105
76,1,2,468,9,NOTHING,false,0,1,2,6,3,,,6,4,105
77,1,2,477,9,NOTHING,false,0,1,2,6,3,,,6,4,105
78,1,2,486,9,NOTHING,false,0,1,2,7,3,,,6,4,109
79,1,2,495,9,USED_LIZARD,false,0,1,2,7,2,,,6,4,109
80,1,2,504,9,NOTHING,false,0,1,2,7,2,,,6,4,109
81,1,2,513,9,NOTHING,false,0,1,2,8,4,,,6,4,121
82,1,2,522,9,NOTHING,false,0,1,2,8,4,,,6,4,121
83,1,1,530,9,TURNING_LEFT,false,0,1,2,8,5,,,6,5,129
84,1,1,539,9,NOTHING,false,0,1,2,8,5,,,6,5,129
85,1,1,548,9,NOTHING,false,0,1,2,8,5,,,6,5,129
86,1,1,557,9,USED_LIZARD,false,0,1,2,8,4,,,6,5,129
