Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,1,0,0,,,0,0,4
3,2,4,22,15,USED_BOOST,true,5,0,0,0,2,,,1,0,20
4,2,4,37,15,ACCELERATING,true,4,0,0,0,2,,,1,0,20
5,2,4,52,3,HIT_WALL,false,0,2,0,1,2,,,2,0,23
6,2,4,58,6,ACCELERATING,false,0,2,0,2,2,,,2,0,27
7,2,4,66,8,ACCELERATING,false,0,2,0,2,2,,,2,0,27
8,2,4,74,8,ACCELERATING,false,0,2,0,2,2,,,2,0,27
9,2,4,82,3,HIT_WALL,false,0,4,0,2,2,,,2,0,22
10,2,4,85,3,ACCELERATING,false,0,4,0,2,2,,,2,0,22
11,2,4,88,0,HIT_MUD,false,0,5,0,2,2,,,2,0,19
12,2,4,88,0,FIXED_CAR,false,0,3,0,2,2,,,2,0,19
13,2,4,91,3,ACCELERATING,false,0,3,0,2,2,,,2,0,19
14,2,4,97,6,ACCELERATING,false,0,3,0,2,2,,,2,0,19
15,2,4,103,6,ACCELERATING,false,0,3,0,2,2,,,2,1,23
16,2,4,109,6,ACCELERATING,false,0,3,0,2,2,,,2,1,23
17,2,4,115,6,ACCELERATING,false,0,3,0,2,2,,,2,1,23
18,2,4,121,6,USED_LIZARD,false,0,3,0,2,1,,,2,1,23
19,2,4,127,6,ACCELERATING,false,0,3,0,2,1,,,2,1,23
20,2,4,133,6,ACCELERATING,false,0,3,1,2,1,,,2,1,27
21,2,4,139,6,USED_LIZARD,false,0,3,1,2,0,,,2,1,27
22,2,4,145,3,HIT_MUD,false,0,4,0,2,0,,,2,1,28
23,2,4,148,3,ACCELERATING,false,0,4,0,2,0,,,2,1,28
24,2,4,151,3,ACCELERATING,false,0,4,0,2,0,,,2,1,28
25,2,4,154,0,HIT_MUD,false,0,5,0,2,0,,,2,1,25
26,2,4,154,0,FIXED_CAR,false,0,3,0,2,0,,,2,1,25
27,2,4,157,3,ACCELERATING,false,0,3,0,2,0,,,2,1,25
28,2,4,163,3,HIT_MUD,false,0,4,0,2,0,,,2,1,22
29,2,4,166,3,ACCELERATING,false,0,4,0,2,0,,,2,1,22
30,2,4,169,0,HIT_MUD,false,0,5,0,2,0,,,2,1,19
31,2,4,169,0,FIXED_CAR,false,0,3,0,2,0,,,2,1,19
32,2,4,172,3,ACCELERATING,false,0,3,0,2,0,,,2,1,19
33,2,4,178,0,HIT_MUD,false,0,5,0,4,0,,,2,1,21
34,2,4,178,0,FIXED_CAR,false,0,3,0,4,0,,,2,1,21
35,2,4,181,3,ACCELERATING,false,0,3,0,4,0,,,2,1,21
36,2,4,187,3,HIT_MUD,false,0,4,0,4,0,,,2,1,18
37,2,4,190,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
38,2,4,193,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
39,2,4,196,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
40,2,4,199,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
41,2,4,202,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
42,2,4,205,3,ACCELERATING,false,0,4,0,4,0,,,2,1,18
43,2,4,208,3,ACCELERATING,false,0,4,0,4,0,,,3,1,22
44,2,4,211,3,ACCELERATING,false,0,4,0,4,1,,,3,1,26
45,2,4,214,3,ACCELERATING,false,0,4,0,4,1,,,3,1,26
46,2,4,217,3,ACCELERATING,false,0,4,0,4,1,,,3,1,26
47,2,4,220,0,HIT_MUD,false,0,5,0,4,1,,,3,1,23
